link_noticia,titulo,data_hora,tags
https://g1.globo.com/economia/noticia/2019/10/31/brasil-vive-quadro-inedito-nos-juros-mas-novo-patamar-da-selic-depende-de-reformas-dizem-economistas.ghtml,"Brasil vive quadro inédito nos juros, mas novo patamar da Selic depende de reformas, dizem economistas", 31/10/2019 08h56 ,Economia
https://g1.globo.com/economia/noticia/2019/10/31/bradesco-tem-lucro-de-r-58-bilhoes-no-3o-trimestre.ghtml,"Bradesco tem lucro de R$ 5,8 bilhões no 3º trimestre", 31/10/2019 07h35 , Bradesco 
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml,"Presidente do PSL, Luciano Bivar é alvo de investigação sobre uso de candidatura laranja nas eleições", 15/10/2019 07h01 , Jair Bolsonaro 
https://g1.globo.com/politica/blog/andreia-sadi/post/2019/10/15/planalto-usara-situacao-do-presidente-do-psl-na-mira-da-pf-para-reforcar-briga-com-o-partido.ghtml,"Planalto usará situação do presidente do PSL, na mira da PF, para reforçar briga com o partido", 15/10/2019 08h57 , Jair Bolsonaro 
https://g1.globo.com/economia/noticia/2019/10/15/com-queda-dos-juros-portabilidade-de-financiamento-imobiliario-cresce-102percent-em-2019.ghtml,"Com queda dos juros, portabilidade de financiamento imobiliário cresce 102% em 2019", 15/10/2019 06h00 ,Economia
https://g1.globo.com/economia/noticia/2019/10/15/aneel-vota-nesta-terca-proposta-que-reduz-incentivo-para-quem-quer-gerar-a-propria-energia.ghtml,Aneel vota nesta terça proposta que reduz incentivo para quem quer gerar a própria energia, 15/10/2019 05h01 , Aneel 
https://g1.globo.com/economia/noticia/2019/10/15/novo-limite-para-compras-em-free-shops-de-aeroportos-passa-a-valer-em-janeiro-de-2020.ghtml,Novo limite para compras em free shops de aeroportos passa a valer em janeiro de 2020, 15/10/2019 07h45 ,Economia
https://g1.globo.com/se/sergipe/noticia/2019/10/15/apos-ricardo-salles-afirmar-que-barreiras-de-contencao-sao-seriam-eficientes-adema-diz-que-trabalho-in-loco-comprova-eficacia.ghtml,Governo de Sergipe contradiz ministro e diz que barreiras são eficientes contra manchas de óleo, 15/10/2019 09h03 ,Sergipe
https://g1.globo.com/ce/ceara/noticia/2019/10/15/ceara-ja-contabiliza-23-tartarugas-mortas-apos-surgimento-de-manchas-de-oleo-no-mar.ghtml,Ceará já contabiliza 23 tartarugas mortas após surgimento de manchas de óleo no mar, 15/10/2019 05h01 ,Ceará
https://g1.globo.com/mundo/blog/helio-gurovitz/post/2019/10/15/o-stf-favorecera-a-impunidade.ghtml,O STF favorecerá a impunidade?, 15/10/2019 07h24 ,Mundo
https://g1.globo.com/mundo/noticia/2019/10/15/erdogan-da-turquia-diz-que-seguira-com-ataque-aos-curdos-na-siria-mesmo-com-pressao-dos-eua.ghtml,"Presidente da Turquia diz que seguirá com ataque aos curdos na Síria, mesmo com pressão dos EUA", 15/10/2019 08h12 , Estado Islâmico 
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml,"Novo líder do PSL, Eduardo Bolsonaro destitui os 12 vice-líderes do partido na Câmara", 21/10/2019 17h35 ,Política
https://g1.globo.com/mundo/noticia/2019/10/21/manifestantes-voltam-as-ruas-em-santiago-no-chile.ghtml,Santiago e outras cidades do Chile terão novo toque de recolher; manifestações continuam pelo país, 21/10/2019 14h31 , Chile 
https://g1.globo.com/mundo/noticia/2019/10/21/paises-enfrentam-protestos-ao-redor-do-mundo-veja-mapa-e-motivos.ghtml,"Protestos em resumo: Chile, Espanha, Equador, Líbano, Haiti, Iraque e Hong Kong", 21/10/2019 17h59 , Chile 
https://g1.globo.com/economia/noticia/2019/10/21/bovespa.ghtml,Bovespa sobe nesta segunda-feira e fecha em patamar recorde, 21/10/2019 10h02 ,Economia
https://g1.globo.com/economia/noticia/2019/10/21/caixa-antecipa-calendario-para-saques-de-ate-r-500-do-fgts.ghtml,Caixa antecipa calendário para saques de até R$ 500 do FGTS, 21/10/2019 15h50 ,Economia
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/21/video-mostra-momento-em-que-piloto-do-aviao-que-caiu-em-bh-e-encontrado.ghtml,Vídeo mostra momento em que piloto do avião que caiu em BH é encontrado, 21/10/2019 20h36 ,Minas Gerais
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/21/ele-explodiu-na-minha-frente-diz-mulher-que-estava-dentro-de-carro-em-rua-que-aviao-caiu-em-bh.ghtml,‘Ele explodiu na minha frente’ diz mulher que estava dentro de carro em rua que avião caiu em BH, 21/10/2019 16h44 ,Minas Gerais
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/21/sem-horario-de-verao-dia-no-rio-comeca-a-clarear-antes-das-4h.ghtml,"Sem horário de verão, dia no Rio começa a clarear antes das 4h", 21/10/2019 18h48 ,Rio de Janeiro
https://g1.globo.com/politica/noticia/2019/10/21/mourao-maximo-que-governo-pode-fazer-e-ter-gente-para-recolher-oleo-no-litoral-nordestino.ghtml,Mourão anuncia entrada do Exército na operação para conter óleo nas praias do Nordeste, 21/10/2019 13h19 , Hamilton Mourão 
