link_noticia;titulo;data_hora;tags
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Mapa das privatizações: governo tem 119 projetos anunciados e prevê realizar mais 22 leilões até fim do ano; 08/10/2019 05h01 ;Economia
https://g1.globo.com/ciencia-e-saude/noticia/2019/10/08/nobel-de-fisica-premia-james-peebles-michel-mayor-e-didier-queloz.ghtml;Trio leva Nobel de Física de 2019 por pesquisas sobre origem do universo e descoberta de planeta ; 08/10/2019 06h53 ; Canadá 
https://g1.globo.com/politica/noticia/2019/10/08/parece-que-criminosamente-algo-foi-despejado-la-diz-bolsonaro-sobre-oleo-que-atingiu-praias-do-nordeste.ghtml;'Parece que criminosamente algo foi despejado lá', diz Bolsonaro sobre óleo que atingiu praias do Nordeste; 08/10/2019 09h10 ;Política
https://g1.globo.com/politica/noticia/2019/10/08/ex-superintendente-da-pf-do-rio-e-nomeado-para-comandar-repressao-a-lavagem-de-dinheiro.ghtml;Ex-superintendente da PF do Rio é nomeado para comandar repressão à lavagem de dinheiro; 08/10/2019 09h52 ; Rio de Janeiro 
https://g1.globo.com/economia/imposto-de-renda/2019/noticia/2019/10/08/receita-federal-abre-consultas-ao-5o-lote-do-ir-2019-nesta-terca-feira.ghtml;Receita Federal abre consultas ao 5º lote do IR 2019; 08/10/2019 06h59 ; Receita Federal 
https://g1.globo.com/mundo/noticia/2019/10/08/equador-transfere-sede-do-governo-de-quito-para-guaiaquil-anuncia-presidente-lenin-moreno.ghtml;Equador transfere sede do governo de Quito para Guayaquil, anuncia presidente Lenín Moreno; 08/10/2019 00h18 ; Equador 
https://g1.globo.com/mundo/noticia/2019/10/08/brasileiros-que-cruzam-americas-de-moto-enfrentam-ameacas-para-entrar-no-equador.ghtml;Brasileiros que cruzam Américas de moto enfrentam ameaças para entrar no Equador; 08/10/2019 00h30 ; Equador 
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/08/conselho-tutelar-veja-o-resultado-da-eleicao-no-rio-em-2019.ghtml;Conselho Tutelar: veja o resultado preliminar da eleição no Rio em 2019; 08/10/2019 06h18 ; Rio de Janeiro 
