link;comentarios;data_comentario
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Pela primeira vez na história .. Brasil tem um poder executivo eficiente ,transparente e sério ... Deputados e senadores contra as propostas do governo , terão a resposta da população nas urnas em 2022 ... Serão varridos ! ;2019-10-08T10:16:02
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Que delírio kkkk;2019-10-08T10:18:03
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;A resposta certamente virá nas urnas, não tenha duvida, esse louco não se elege mais nem pra síndico, se é que termina o mandato.;2019-10-08T10:38:06
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Dinheiro vai ser usado para amortizar juros da  divida publica que só cresce nesse desgoverno. Não se iludam se acham que vai ser investido em prol do povo;2019-10-08T10:37:37
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Tem privatizar todas as empresas, governo tem cuidar é educação, saúde e segurança.cabide de empregos.;2019-10-08T10:36:07
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Parabéns capitão! Tem de acabar mesmo com estes cabides sem concursos!;2019-10-08T08:02:13
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Capitão insano, desequilibrado e enfiado até o pescoço com seus filhinhos em roubos e maracutaias.;2019-10-08T09:30:53
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Lucia tem uma estrelinha vermelha tatuada naboondha.;2019-10-08T09:43:46
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Não  amor não tenho, mas você com sua educação primorosa e falta de respeito a uma mulher, tem sim tatuado em você, a marca da besta, que está no poder, vai acabar precisando de um exorcista. Tenta melhorar como pessoa.;2019-10-08T10:19:53
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Só lembrando, se a esquerda vermelha, molusco e anta não tivessem desviado trilhões para países comunistas e socialistas, isso não precisaria estar acontecendo! Fato.;2019-10-08T10:35:50
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;Acho um absurdo essas privatizações, as nossas empresas públicas sempre nos prestam excelentes serviços. Principalmente OS CORREIOS, que apesar de toda a concorrência, consegue sempre entregar nossos boletos sempre depois de vencidos, o que nos dá o benefício de poder pagar multas e juros. ;2019-10-08T09:59:18
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;kkkkkkkkkkkkkkkkkkkkkkkkkkkkk;2019-10-08T10:02:07
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;O problema aí é a corrupção, privatizando fica mais fácil um caixa 2.  As famosas doações ocultas para campanhas eleitorais. ;2019-10-08T10:04:03
https://g1.globo.com/economia/noticia/2019/10/08/mapa-das-privatizacoes-governo-tem-119-projetos-anunciados-e-preve-realizar-mais-22-leiloes-ate-fim-do-ano.ghtml;O Itaú, o Bradesco, Santander , Odebrecht são estatais? Por que parece que toda a corrupção está nas Estatais. O governo quer atrelar a corrupção à empresa publica, mas o que não faz questão de esclarecer é que os corruptos são os indicados por ele próprio.;2019-10-08T10:11:41
