link;comentarios;data_comentario
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;dei uma olhada basica em algumas escolas, e é surpreendente como a media de alunos é baixa e a aprovação é alta-;2019-10-05T11:41:30
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Países que mais investem na Educação tendem a ser mais ricos, com menos desigualdade social, com menores índices de violência, menos propensos à corrupção, e também tendem a ter os maiores níveis de felicidade da população.  Por que será que o Brasil não prioriza a Educação (corta investimentos na área), deixando-o nos últimos lugares no ranking mundial?;2019-10-05T10:18:20
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;"Corte de investimento na Educação por 20 anos (PEC 241/2017); Desvio de R$ 3,7 bilhões destinada a Educação para o Fundo Eleitoral(desde 2018); Contigenciamento de 30% na Educação em 2019; BNCC/2019, exclusão de disciplinas importantes( como biologia, química, física, geografia e história) que antes eram obrigatórias no ensino médio para diminuir gastos. Sucateamento do IBGE com corte de 25% e redução do tamanho do questionário (Fim da transparência). Resumindo: Querem formar apenas trabalhadores para o mercado de trabalho e que sejam incapazes de questionar o mundo.";2019-10-05T10:20:06
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;É que os países que mais investem em educação primeiro prioritizaram a economia. São países que primeiro abraçaram o liberalismo e o capitalismo. Enriqueceram e aí investiram. Se nós queremos ter a educação dos EUA, Finlandia ou coreia do sul, devemos fzer como eles. Abraçar o capitalismo. Caso contrário seremos como Cuba, em que as pessoas tem um diploma mas vivem na miséria. Aí não adianta nada. Para evoluirmos, temos que deixar o esquerdismo pra trás.;2019-10-05T10:26:04
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;O mundo não precisa ser questionado, mas entendê-lo para melhorá-lo.;2019-10-05T10:34:08
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Na mentalidade da flávia, países que mais investem em educação tendem a ser mais ricos, ter mais qualidade de vida, menos corrupção. Porém, o que ela não enxerga é que na realidade é o contrario. Países ricos tendem a investir mais em educação. Eles investem mais porque sao ricos. Primeiro a economia, depois a educação. Caso contrario, Cuba, que investe em educação, seria riquíssima.;2019-10-05T10:48:31
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Sergio Fernandes precisa estudar mais interpretação de texto. Vida de gado, aceita tudo que o sistema( governo) lhe faz sem questionar o mundo( o sistema), porque não adquiriu capacidade de discernir por falta de conhecimento( Ensino).;2019-10-05T11:03:50
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;kkkkkk  já olhou no portal da transparência da sua cidade, para ver o que fazem com o dinheiro da educação..?? mais investimento no Brasil, significa mais desvios.. Inocente.. ;2019-10-05T11:36:19
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;"Gente olha que legal: Após prêmio em P'aris, cresce a c'ampanha pelo N'obel da P'az para L'ula.
";2019-10-05T06:49:23
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;O que isso tem haver com o assunto acima, R.E.T.A.R.D.A.D.O ?;2019-10-05T07:50:35
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;o assunto acima se refere ao ensino. caso você não saiba, L'ula foi o p'residente que mais criou e'scolas , foram mais de vinte u'niversidades e quase quinhentas e'scolas técnicas. ;2019-10-05T08:20:16
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;...e a escola da CORRUPÇÃO tbm?;2019-10-05T08:31:54
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Então explica porque multiplicou o número de pessoas que só sabem assinar o nome?;2019-10-05T08:34:02
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Bertin, você deve ter sido colega de classe dele. Só pode.;2019-10-05T08:37:48
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Bertin, agradeça ao FHC, pois colocou a economia nos trilhos...;2019-10-05T09:05:43
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Censura detectada. G1 censurou meu comentário. ;2019-10-05T09:23:39
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;"E'ducação: L'ula 10 vs 0 no Príncipe dos Sociólogos
O metalúrgicoAnalfa criou mais de vinte  u'niversidades. E o que fala f'rances não criou NENHUMA !";2019-10-05T10:12:24
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Os g'overnos do P'T fizeram uma verdadeira r'evolução na e'ducação do Brasil .foi o g'overno que mais i'nvestiu em ed'ucação incluindo T'emer. ;2019-10-05T10:16:13
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Por isso os índices refletem isso.. lembrando que a análise é até 2018. ;2019-10-05T11:38:14
https://g1.globo.com/educacao/noticia/2019/10/05/g1-lanca-ferramenta-com-informacoes-de-todas-as-escolas-do-brasil.ghtml;Muito bom material, mas continuo dizendo que os MUNICÍPIOS, deveriam assumir o Ensino Básico e Médio, ( COM MAIS RECURSOS ), o Estado deveria focar no Ensino Técnico de Formação para o Mercado de Trabalho com essas novas tecnologias, atividades e formação empresarial ( muito importante ), ensino superior, os Estados sairiam fora, focariam no Técnico e o Federal e as Particulares,  continuariam , mas teria que ser pago em parte pelos alunos. Eh isso.;2019-10-05T11:36:26
