link;comentarios;data_comentario
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Essa família age como verdadeiros ditadores....e seus seguidores fazem o mesmo, querem censurar e são agressivos com os críticos. Como podem dar asas pra cobras? Essa família só está na política para enriquecer patrimônio e abusar do poder.;2019-10-21T20:17:42
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;"""enriquecer patrimônio""? Ops, isso é com a família do ""iletrado"", sabe ao menos a quem estou me referindo? Ele mesmo, o famoso presidiário de Curitiba!";2019-10-21T20:24:18
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;E seu presidente também, baba ovo. TROUXA é quem defende político, ainda mais políticos dessa família. Fica aí puxa saco defendendo o bozo que ele quer mais é você tome naquele lugar. Gado!;2019-10-21T20:31:17
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;pelo menos a briga por cargos foi tão forte que não foi lavar essa roupa dentro de casa. cade a nova politica?  o ego ta demais. ;2019-10-21T20:37:20
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;"Claudio Sprenger, o bozão com mais de 30 anos na político, arranjou lugar para os filhos, sempre querendo dar a eles os melhores cargos. Todos eles com mansões e vc vem dizer que eles não querem enriquecer patrimônio? vai dar o cool pra eles, seu Iambe roIa
";2019-10-21T20:47:19
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;"Marcos Almeida, quando acabam os argumentos, começam as ofensas, atitude tipica de esquerdopatas, que sofrem de ""viés de confirmação e complexo de Estocolmo""! Meus Pêsames!";2019-10-21T21:14:16
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;"HOJE, DIANTE DESSA.BAGUNÇA GENERALIZADA, PAÍSES DE TODO O MUNDO TEM MEDO DE ""VIRAR UM BRASIL!""... NA BOA... E NÃO FOI FALTA DE AVISO... MAS SE PREPAREM... O PIOR ESTÁ POR VIR... E PODE SER HOJE AINDA.";2019-10-21T18:54:53
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Ao menos, o Brasil não corre o risco de virar uma Venezuela, como nos tempos da DilmaMegera!;2019-10-21T19:22:32
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Não corre? O Chile modelo do Guedes tá virando é Síria.;2019-10-21T19:28:06
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Deixe de ser jumento seu Claudio.;2019-10-21T19:31:25
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Dá uma relinchada dona Marilia Batista, que vou entender, que você é só mai uma reles esquerdopata juramentada!!;2019-10-21T19:35:51
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Cláudio.Gado... em 12 anos de.petê, nunca viramos Venezuela, pelo contrário, viramos uma grande potência econômica, e não sou eu quem diz isso, são os números... mas esperar o quê de quem foi criado num.curral... te chamar de.jumento é redundância... mas se você quiser mesmo saber quem são os seus peões de.boiadeiro, aguarde em breve... Marília não se preocupe, mugir é especialidade dele ok ;2019-10-21T20:27:02
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Gustavo bobalhão, o Chile é um país modelo para o mundo!! Vai se informar!!;2019-10-21T20:31:37
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Fora PT!!!;2019-10-21T20:43:38
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Dinho... acho melhor vc se informar com a população chilena... pelo visto ela não está muito satisfeita não... e só mais um detalhe caro.Nute.lla.... o.petê não está no governo há 5 anos ok... mas quando estava, a economia era muito melhor... quem diz isso não sou eu, são os números! ;2019-10-21T21:13:38
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Aí povão nas próximas eleições se vc for a favor de aumento de combustíveis aumento valor do gás menos direitos menos salário dólar alto vergonha mundial fogo na natureza e óleo nos oceanos podem votar no PSL do Mitu.....agora se vcs forem contra tudo Isso e a favor de progresso nunca mais votem nesses marginais meliantes sangue sugas pq só sendo bem CANALHA pra apoiar essa QUADRILHA. Na qual o MORO FAZ PARTE e apoia tudo isso dae tá ok?;2019-10-21T19:15:09
https://g1.globo.com/politica/noticia/2019/10/21/em-meio-a-disputa-por-lideranca-do-psl-eduardo-bolsonaro-destitui-vice-lideres.ghtml;Guedes ganhou prêmio de melhor economista do Mundo kkkkkkk velho oque ele fez pro Brasil até agora ? Nada nada nada . Forjaram compraram . Uma vergonha . Brasil só tá no rumo errado ;2019-10-21T19:40:15
