link;comentarios;data_comentario
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Foi exatamente o que a Dil ma deixou em 2016 quando saiu, agora é pensar pra frente, a economia já está dando sinais de recuperação, isso é muito bom...;2019-10-31T09:06:18
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;será que daqui a 10 anos ainda vão dizer que a culpa é do PT?;2019-10-31T09:23:29
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Mas quanto ao discurso de que a reforma trabalhista iria gerar empregos... Onde foi que gerou? Não vi! Lamento que os trabalhadores tenham sido enganados com o esse argumento que só idiota acreditava! ;2019-10-31T09:24:18
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Só passando para dizer que sou servidor público e a barba tá grande, acordo tarde, pego minha bermuda e chinelo, passo no buteco e engulo aquela pinga antes do meu expediente. Mas o salário tá certinho, sem aumento esse ano, mas depois dessa crise começamos a trabalhar e organizar greve geral.;2019-10-31T09:23:56
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;"Só passando para dizer que sou servidor público e não gastei a remuneração do mês anterior e já recebo esse mês de novo.
Só passando para dizer que sou servidor público e quem puxou saco do chefe tá na rua.
Só passando para dizer que sou servidor público e continuo no meu emprego.
Só passando para dizer que sou servidor público e meu salário tá certinho.
";2019-10-31T09:23:45
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Sugiro que o jornal da re cord seja no mesmo horario do jn;2019-10-31T09:07:54
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;"Só passando para dizer que sou servidor público e acabei de chegar de férias de 30 dias, mas vou emendar licença premio de 3 meses para zoar da cara de empresários e funcionários puxa saco desas empresas, mas continuo no meu emprego até a eternidade.
Só passando para dizer que sou servidor público e me responde se valeu a pena ser puxa saco de chefe???
Só passando para dizer que sou servidor público e tenho estabilidade, não dependo de empresários pra viver.";2019-10-31T09:23:18
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Calma gente,neste governo, nada é tão ruim que não possa piorar.;2019-10-31T09:23:08
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;"Só passando para dizer que sou servidor público e tenho pena do pessoal da CLT.
Só passando para dizer que sou servidor público e ainda bem que estudei para não depender de empresário pra viver, só eles ganham dinheiro nessa vida CLT.
Esse empresários pagam 900 reais, mixaria, por isso muitos saem dessa fuleragem pra estudar pra concurso.";2019-10-31T09:23:05
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;Nenhuma notícia sobre o porteiro? Ahhhh que peninha.;2019-10-31T09:23:00
https://g1.globo.com/economia/noticia/2019/10/31/desemprego-fica-em-118percent-em-setembro-diz-ibge.ghtml;"Só passando para dizer que sou servidor público e ainda bem q largaram esses empregos CLT, não dá futuro mesmo.
Só passando para dizer que sou servidor público e recebia salário de fome dessas empresas e humilhado, estudei e recebo melhor e tenho expectativa de vida onde trabalho.
Só passando para dizer que sou servidor público e essa crise tá tranquila para mim, não passo sufoco.";2019-10-31T09:22:55
