link;comentarios;data_comentario
https://g1.globo.com/politica/noticia/2019/10/02/stf-decide-adiar-definicao-de-regras-das-alegacoes-finais-de-reus-delatados-e-delatores.ghtml;sres ministros : sugiro que tornem legal a corrupção, desvio de verbas, envio do dinheiro sujo para o exterior, envolvendo políticos e empresários a eles ligados. Que tornem legal os assassinatos com motivação política e blindem esses envolvidos em esquemas. É para isso que existe o STF. Juro que eu fosse mais novo de idade, sairia do país, que não tem mais esperança quanto a dignidade e seriedade dos governantes.;2019-10-02T22:44:03
https://g1.globo.com/politica/noticia/2019/10/02/stf-decide-adiar-definicao-de-regras-das-alegacoes-finais-de-reus-delatados-e-delatores.ghtml;sres ministros : sugiro que tornem legal a corrupção, desvio de verbas, envio do dinheiro sujo para o exterior, envolvendo políticos e empresários a eles ligados. Que tornem legal os assassinatos com motivação política e blindem esses envolvidos em esquemas. É para isso Qque existre o STF. Juro que eu fosse mais novo de idade, sairia do psís que não tem mais esperança quanto a dignidade e seriedade dos governantes.  ;2019-10-02T22:43:07
https://g1.globo.com/politica/noticia/2019/10/02/stf-decide-adiar-definicao-de-regras-das-alegacoes-finais-de-reus-delatados-e-delatores.ghtml;"O brasileiro é muito O T Á R I O mesmo, pensa que trabalhar igual um cavalo vai mudar alguma coisa. A melhor forma de ser feliz nesse país I M U N D O é ser bandido e separar 20% dos lucros para paragar um bom advogado. A vida vai ser maravilhosa, próspera, você terá respeito e se for analfabeto pode até chegar a presidência. Então anotem o segredo do sucesso no Brasil. Seja um bandido e pague um bom advogado. Será rico, feliz e nunca vai precisar se preocupar com cadeia.
";2019-10-02T22:37:12
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Esperando a caixinha $$$$$;2019-10-02T22:05:05
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;SÓ  SAI REFORMAS NO LOMBO DOS TRABALHADORES , E OS  MAIS HUMILDES   CLT. CADÊ  A REFORMA DOS MILITARES? CADÊ  QUE CORTAM ALGUM AUXÍLIO,  DOS MAIS DE 70 MIL POLÍTICOS,  QUE O PAÍS  TEM. SE CORTASSEM A METADE NÃO  PRECISARIA  DE REFORMA TRABALHISTA  E  A DA PREVIDÊNCIA.;2019-10-02T21:44:33
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Esse GordoCorruptoMorfético do Alcolumbre é tão ruim quanto o RenanCanalheiros! FlavioBolsonaroTraidor certamente é parceiro deles dentre muitos SenadoresAbutres!;2019-10-02T20:45:05
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Senadores abutres. A cada dia que atrasam a reforma, visando beneficios pessoais, afundam o país na lama gerando mais Mortes?Dramas para o povo brasileiro e não estão nem ai porque sabem que o $$$TF vai proteger!;2019-10-02T20:54:02
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;O espírito de porco dos Senadores e Deputados sempre estará acima de qualquer patriotismo.;2019-10-02T20:47:01
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Patriotismo é um problema ;2019-10-02T20:50:23
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Que situação da nação brasileira,  políticos corruptos  querendo ganhar mais e mais , nossa suprema corte de justiça  STF impondo uma ditadura , onde o que prevalece é quem pode pagar pela sentença.  Por isso que não crítico quem tem dinheiro e vai morrar fora do Brasil .;2019-10-02T20:44:45
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Senadores abutres. A cada dia que atrasam a reforma, visando beneficios pessoais, afundam o pais na lama.;2019-10-02T20:25:38
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Mercenarios;2019-10-02T20:22:02
https://g1.globo.com/politica/noticia/2019/10/02/alcolumbre-afirma-que-votacao-do-2a-turno-da-previdencia-pode-ficar-para-depois-do-dia-15.ghtml;Carcarás sanguinolentos querendo sugar os cofres públicos. Os caras são descarados, não estão nem aí com as mortes de enfermos nos hospitais públicos, educação jamais - porque o povo tem que ser  semi-analfabeto e alienado. Além do mais, pode consultar que a maioria são do nordeste, onde eleitores são facilmente  manobrados por esses bandidos do colarinho branco.  Assina: nordestino inconformado........;2019-10-02T19:23:06
