link;comentarios;data_comentario
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/04/pf-indicia-ministro-do-turismo-e-mais-10-por-candidaturas-laranja-no-psl-em-minas.ghtml;engraçado. na hora que o processo é arquivado, tem noticia aqui não né?;2019-10-04T09:44:50
https://g1.globo.com/politica/noticia/2019/10/04/bolsonaro-sanciona-lei-com-limite-de-gastos-para-campanhas-de-prefeitos-e-vereadores.ghtml;agora o congresso enfarta. so entendem de fundão.;2019-10-04T09:29:47
https://g1.globo.com/politica/noticia/2019/10/04/bolsonaro-sanciona-lei-com-limite-de-gastos-para-campanhas-de-prefeitos-e-vereadores.ghtml;Congresso torceu o bico do bozo, agora qualquer um pode cavalgar.;2019-10-04T09:23:30
https://g1.globo.com/politica/noticia/2019/10/04/bolsonaro-sanciona-lei-com-limite-de-gastos-para-campanhas-de-prefeitos-e-vereadores.ghtml;Comprei uma urna daquelas no mercado livre, todo dia de manhã voto 17 só pra escutar aquele barulhinho que meu voto foi computado... show demais!!!;2019-10-04T09:04:54
https://g1.globo.com/politica/noticia/2019/10/04/bolsonaro-sanciona-lei-com-limite-de-gastos-para-campanhas-de-prefeitos-e-vereadores.ghtml;Ótimo! Agora resta lhe limitar os gastos paras as demais eleições. ;2019-10-04T08:57:58
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;O mais importante!!!! Não vote em candidatos que estão recebendo dinheiro do fundo partidário. São 5 Bilhões que foram tirados dá saúde e da educação, para fazerem essa aberração. Fica a dica.;2019-10-04T05:41:25
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;VAMOS MUDAR A POLITICA, PODEMOS FAZER ISSO! VAMOS COLOCAR PESSOAS NOVAS QUE TENHAM VONTADE DE MUDAR ;2019-10-04T08:41:00
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Desculpe caro amigo mais encontrar pessoas honesta para a politica esta difícil.Existe pessoas honesta porém quando estão la dentro mudam;2019-10-04T09:00:42
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;"Vamos votar 30
";2019-10-04T09:42:58
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;PSL Personnalité? Nem morto.;2019-10-04T09:45:38
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;A regra básica: Salve-se quem puder...;2019-10-04T09:01:30
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Faltou acabar com o voto obrigatório. O eleitor é obrigado a passar uma procuração a um sujeito que irá desviar os recursos do próprio eleitor, não me venham com a balela de que tem que saber votar. Todos que se apresentam não prestam, o único objetivo de candidatos é o salário e as benesses que recebem, seja quem for.;2019-10-04T08:12:57
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;"Por acaso tu é o Rufhos aquele da polícia federal??
Concordo com o q falou.";2019-10-04T08:45:37
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Comprei uma urna daquela ali no mercado livre, todo dia de manhã voto 17 só pra escutar aquele barulhinho que meu voto foi computado... show!!!;2019-10-04T08:25:37
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;KKKKKKKKK;2019-10-04T08:40:28
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Cargo de vereador deveria não ter remuneração como antigamente. Deveria ser pessoas voluntárias, sem antecedentes criminais, disposta a contribuir com a legislação do município, apenas com 3 auxiliares e sem verbas de gabinete.;2019-10-04T08:33:40
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Lá vem o povo votar nos mesmos bandidos de sempre. Povo burro que vota mal.;2019-10-04T08:28:19
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Esquerda1ha vai levar outra surra tão grande quanto a que o poste, anta e vermelhos levaram do mito ano passado!;2019-10-04T08:08:50
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Aliás, não votem em artistas, ex atletas e cantores!;2019-10-04T08:12:11
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;peçoal vou mim candidatar a veriad0r aqui no ri0 de janeir0 e c0n to com os vot0 de vocês. eleijam o absalão e acabem com a corrupição! minhas c0ndolenç.as;2019-10-04T07:47:44
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Tu tá de zueira né?;2019-10-04T07:56:24
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;O ideal seria se não fosse obrigatório a votação, além da gente perder minutos de nossas vidas em uma fila, essa palhaçada ocorre só aos domingos, porque não em uma segundona? Assim eu ficaria mais tempo na cama.;2019-10-04T07:34:53
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Concordo com o voto facultativo, mas querer mais um feriado não dá.;2019-10-04T07:41:38
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Regras? já sabemos das dessas regras: compra de votos, muita amolação, promessas incabíveis, é um período muito chato na cabeça de quem gosta de trabalhar, Deus nos dê paciência.....política no Brasil é sinônimo de muitas coisas ruins......;2019-10-04T07:31:41
https://g1.globo.com/politica/eleicoes/2020/noticia/2019/10/04/saiba-quais-regras-vao-vigorar-nas-eleicoes-municipais-de-2020.ghtml;Pena que apenas chega à 8% dá população . O ideal é jamais votar em quem já foi eleito .;2019-10-04T05:54:54
https://g1.globo.com/rj/rio-de-janeiro/noticia/2019/10/04/guerra-em-costa-barros-bope-e-batalhoes-fazem-cerco-apos-noite-de-terror.ghtml;Esse Rio é um caos ;2019-10-04T09:45:30
