link;comentarios;data_comentario
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Pilantra né. E ele não é do PT. kkkkk;2019-10-09T20:47:30
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Caboclinho complicado né?;2019-10-09T20:22:30
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Mas não é o único que faz isso.;2019-10-09T20:25:08
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;"Não é mesmo, Dedé. O partido todo, né? Inclusive os ""honestos"" do bozo e filhos.";2019-10-09T20:37:52
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;A mamata vai acabarrrrrrrr.... ahh não, péra, vai nao.... kkkkkk nao foi por falta de aviso, minions otarios.;2019-10-09T20:28:20
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Que moral tem peteba para falar. kkkkkkkkkkkkkkkkkk;2019-10-09T20:33:39
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;"Marcos, fala sério...Tá defendendo? Não era ""pra acabar com tudo que tá aí, taokey""??????";2019-10-09T20:36:15
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Não adianta insistir  com esse PSL,isso vai virar um putê.;2019-10-09T20:35:15
https://g1.globo.com/mg/minas-gerais/noticia/2019/10/09/ministerio-publico-pede-a-abertura-de-novo-inquerito-contra-ministro-do-turismo-por-caixa-dois.ghtml;Como tem picareta ness;2019-10-09T20:22:12
https://g1.globo.com/politica/noticia/2019/10/09/bolsonaro-diz-que-permanece-no-psl-e-compara-crise-no-partido-a-briga-de-marido-e-mulher.ghtml;Não votei no PSL!! Votei no CAPITÃO !! Onde ele estiver terá meu voto.e você?;2019-10-09T20:32:25
