link;comentarios;data_comentario
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Acabou o argumento EsquerdalhaSujo dos LaranjasDoPSL até porque agora os PorcosSocialistasComunistasImundos estão do lado doPSL! Restou apenas o Queiroz e quando ele for preso vai ser o que? Só vai sobrar escrever Bozo! Patéticos!;2019-10-15T10:12:45
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;O mais curioso sobre o Queiroz é que tem laranjas em GabinetesDeVereadoresDaAlerj doPT e doPSol que movimentaram valores 10X maiores que o do Queiroz mas não se vê um PutoEsquerdalha sequer cobrando sobre isso aliás são estes gabinetes que estão tentando barrar a investigação de TODOS mas continuam escrevendo Queiroz.;2019-10-15T10:15:23
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Se houve problemas no PSL o presidente já mandou a PF apurar e ele sai do partido. Não vai proteger foras das lei como aconteceu no brasil nos últimos anos.;2019-10-15T09:56:41
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Partido de corruptos. O bozo caiu como uma luva. Igual na época do PP do mensalão a lava jato. Só se filia a quadrilhas.;2019-10-15T09:59:00
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;O fora da lei é ele também, fez parte da quadrilha e quando a casa caiu pulou fora.;2019-10-15T10:00:35
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;"Ele não quer apurar nada. Ele quer tomar o partido do cara e ficar com os 100 milhões do fundo partidário. Se houve Cx2 ele está implicado pois sua campanha foi feita com recursos
do partido, ao que parece oriundos de Cx2 e desvio de verbas. Já pensou se cola essa? Todo mundo vai fazer Cx se eleger e quando estourar diz que a culpa é partido e muda de partido. Ai que molezinha hein!";2019-10-15T10:01:47
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Jente, o Sérgio é mais inocente que uma criança de 2 anos, ou é impressão minha? Agente sabe que, concerteza, este rapaz, o Sérgio, ele não está bem!;2019-10-15T10:14:15
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Bozo vai para o petê. Só fazendo isso para chegar aos pés do grande estadista Luís Inácio!;2019-10-15T10:13:19
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Publicar meu comentário antes que o ditador proíba. NÃO TEM JEITO, A GENTE NUNCA ACERTA, A MASSA, A GRANDE MAIORIA QUE FAZ ESSE PAÍS ACONTECER SÓ SERVE PARA SUSTENTAR O LUXO E OS CAPRICHOS DE UMA MINORIA QUE FEDE. ACORDA BRASIL!;2019-10-15T10:12:59
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;É a sistemática do Moro, atuar só contra adversários dos milícianos, preservando a familicia.;2019-10-15T10:12:48
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;PF em favor de laranjas por laranjas, bandidos  mandando investigar bandido.;2019-10-15T10:12:47
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Maravilha! Agora me cha.me.m   de k.o.r.r.u.p.to!;2019-10-15T10:09:38
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Mula livre!;2019-10-15T10:12:41
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Esta mais claro que Agua que o bozo sabia da operação da pf, por isso ele simulou essa briguinha com o Bivar.;2019-10-15T10:12:28
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Méul dels, vão achar o Queiróz nesta casa. Agora fiquei com todos, eu disse TODOS, pêlos do corpo  dimpé!;2019-10-15T10:11:50
https://g1.globo.com/pe/pernambuco/noticia/2019/10/15/pf-cumpre-mandado-em-endereco-ligado-a-luciano-bivar.ghtml;Aos poucos, a casa vai caindo e o Brasil se afundando com esse desgoverno eleito com a ajuda da corrupção.;2019-10-15T10:11:47
